DATE,NASDAQCOM
9/23/15,4752.74
9/24/15,4734.48
9/25/15,4686.5
9/28/15,4543.97
9/29/15,4517.32
9/30/15,4620.16
10/1/15,4627.08
10/2/15,4707.78
10/5/15,4781.26
10/6/15,4748.36
10/7/15,4791.15
10/8/15,4810.79
10/9/15,4830.47
10/12/15,4838.64
10/13/15,4796.61
10/14/15,4782.85
10/15/15,4870.1
10/16/15,4886.69
10/19/15,4905.47
10/20/15,4880.97
10/21/15,4840.12
10/22/15,4920.05
10/23/15,5031.86
10/26/15,5034.7
10/27/15,5030.15
10/28/15,5095.69
10/29/15,5074.27
10/30/15,5053.75
11/2/15,5127.15
11/3/15,5145.13
11/4/15,5142.48
11/5/15,5127.74
11/6/15,5147.12
11/9/15,5095.3
11/10/15,5083.24
11/11/15,5067.02
11/12/15,5005.08
11/13/15,4927.88
11/16/15,4984.62
11/17/15,4986.01
11/18/15,5075.2
11/19/15,5073.64
11/20/15,5104.92
11/23/15,5102.48
11/24/15,5102.81
11/25/15,5116.14
11/26/15,.
11/27/15,5127.52
11/30/15,5108.67
12/1/15,5156.31
12/2/15,5123.22
12/3/15,5037.53
12/4/15,5142.27
12/7/15,5101.81
12/8/15,5098.24
12/9/15,5022.87
12/10/15,5045.17
12/11/15,4933.47
12/14/15,4952.23
12/15/15,4995.36
12/16/15,5071.13
12/17/15,5002.55
12/18/15,4923.08
12/21/15,4968.92
12/22/15,5001.11
12/23/15,5045.93
12/24/15,5048.49
12/25/15,.
12/28/15,5040.99
12/29/15,5107.94
12/30/15,5065.85
12/31/15,5007.41
1/1/16,.
1/4/16,4903.09
1/5/16,4891.43
1/6/16,4835.76
1/7/16,4689.43
1/8/16,4643.63
1/11/16,4637.99
1/12/16,4685.92
1/13/16,4526.06
1/14/16,4615
1/15/16,4488.42
1/18/16,.
1/19/16,4476.95
1/20/16,4471.69
1/21/16,4472.06
1/22/16,4591.18
1/25/16,4518.49
1/26/16,4567.67
1/27/16,4468.17
1/28/16,4506.68
1/29/16,4613.95
2/1/16,4620.37
2/2/16,4516.95
2/3/16,4504.24
2/4/16,4509.56
2/5/16,4363.14
2/8/16,4283.75
2/9/16,4268.76
2/10/16,4283.59
2/11/16,4266.84
2/12/16,4337.51
2/15/16,.
2/16/16,4435.96
2/17/16,4534.06
2/18/16,4487.54
2/19/16,4504.43
2/22/16,4570.61
2/23/16,4503.58
2/24/16,4542.61
2/25/16,4582.2
2/26/16,4590.47
2/29/16,4557.95
3/1/16,4689.6
3/2/16,4703.42
3/3/16,4707.42
3/4/16,4717.02
3/7/16,4708.25
3/8/16,4648.82
3/9/16,4674.38
3/10/16,4662.16
3/11/16,4748.47
3/14/16,4750.28
3/15/16,4728.67
3/16/16,4763.97
3/17/16,4774.99
3/18/16,4795.65
3/21/16,4808.87
3/22/16,4821.66
3/23/16,4768.86
3/24/16,4773.51
3/25/16,.
3/28/16,4766.79
3/29/16,4846.62
3/30/16,4869.29
3/31/16,4869.85
4/1/16,4914.54
4/4/16,4891.8
4/5/16,4843.93
4/6/16,4920.72
4/7/16,4848.37
4/8/16,4850.69
4/11/16,4833.4
4/12/16,4872.09
4/13/16,4947.42
4/14/16,4945.89
4/15/16,4938.22
4/18/16,4960.02
4/19/16,4940.33
4/20/16,4948.13
4/21/16,4945.89
4/22/16,4906.23
4/25/16,4895.79
4/26/16,4888.28
4/27/16,4863.14
4/28/16,4805.29
4/29/16,4775.36
5/2/16,4817.59
5/3/16,4763.22
5/4/16,4725.64
5/5/16,4717.09
5/6/16,4736.16
5/9/16,4750.21
5/10/16,4809.88
5/11/16,4760.69
5/12/16,4737.33
5/13/16,4717.68
5/16/16,4775.46
5/17/16,4715.73
5/18/16,4739.12
5/19/16,4712.53
5/20/16,4769.56
5/23/16,4765.78
5/24/16,4861.06
5/25/16,4894.89
5/26/16,4901.77
5/27/16,4933.5
5/30/16,.
5/31/16,4948.05
6/1/16,4952.25
6/2/16,4971.36
6/3/16,4942.52
6/6/16,4968.71
6/7/16,4961.75
6/8/16,4974.64
6/9/16,4958.62
6/10/16,4894.55
6/13/16,4848.44
6/14/16,4843.55
6/15/16,4834.93
6/16/16,4844.91
6/17/16,4800.34
6/20/16,4837.21
6/21/16,4843.76
6/22/16,4833.32
6/23/16,4910.04
6/24/16,4707.98
6/27/16,4594.44
6/28/16,4691.87
6/29/16,4779.25
6/30/16,4842.67
7/1/16,4862.57
7/4/16,.
7/5/16,4822.9
7/6/16,4859.16
7/7/16,4876.81
7/8/16,4956.76
7/11/16,4988.64
7/12/16,5022.82
7/13/16,5005.73
7/14/16,5034.06
7/15/16,5029.59
7/18/16,5055.78
7/19/16,5036.37
7/20/16,5089.93
7/21/16,5073.9
7/22/16,5100.16
7/25/16,5097.63
7/26/16,5110.05
7/27/16,5139.81
7/28/16,5154.98
7/29/16,5162.13
8/1/16,5184.2
8/2/16,5137.73
8/3/16,5159.74
8/4/16,5166.25
8/5/16,5221.12
8/8/16,5213.14
8/9/16,5225.48
8/10/16,5204.58
8/11/16,5228.4
8/12/16,5232.89
8/15/16,5262.02
8/16/16,5227.11
8/17/16,5228.66
8/18/16,5240.15
8/19/16,5238.38
8/22/16,5244.6
8/23/16,5260.08
8/24/16,5217.69
8/25/16,5212.2
8/26/16,5218.92
8/29/16,5232.33
8/30/16,5222.99
8/31/16,5213.22
9/1/16,5227.21
9/2/16,5249.9
9/5/16,.
9/6/16,5275.91
9/7/16,5283.93
9/8/16,5259.48
9/9/16,5125.91
9/12/16,5211.89
9/13/16,5155.25
9/14/16,5173.77
9/15/16,5249.69
9/16/16,5244.57
9/19/16,5235.03
9/20/16,5241.35
9/21/16,5295.18
9/22/16,5339.52
9/23/16,5305.75
9/26/16,5257.49
9/27/16,5305.71
9/28/16,5318.55
9/29/16,5269.15
9/30/16,5312
10/3/16,5300.87
10/4/16,5289.66
10/5/16,5316.02
10/6/16,5306.85
10/7/16,5292.4
10/10/16,5328.67
10/11/16,5246.79
10/12/16,5239.02
10/13/16,5213.33
10/14/16,5214.16
10/17/16,5199.82
10/18/16,5243.84
10/19/16,5246.41
10/20/16,5241.83
10/21/16,5257.4
10/24/16,5309.83
10/25/16,5283.4
10/26/16,5250.27
10/27/16,5215.97
10/28/16,5190.1
10/31/16,5189.13
11/1/16,5153.58
11/2/16,5105.57
11/3/16,5058.41
11/4/16,5046.37
11/7/16,5166.17
11/8/16,5193.49
11/9/16,5251.07
11/10/16,5208.8
11/11/16,5237.11
11/14/16,5218.4
11/15/16,5275.62
11/16/16,5294.58
11/17/16,5333.97
11/18/16,5321.51
11/21/16,5368.86
11/22/16,5386.35
11/23/16,5380.68
11/24/16,.
11/25/16,5398.92
11/28/16,5368.81
11/29/16,5379.92
11/30/16,5323.68
12/1/16,5251.11
12/2/16,5255.65
12/5/16,5308.89
12/6/16,5333
12/7/16,5393.76
12/8/16,5417.36
12/9/16,5444.5
12/12/16,5412.54
12/13/16,5463.83
12/14/16,5436.67
12/15/16,5456.85
12/16/16,5437.16
12/19/16,5457.44
12/20/16,5483.94
12/21/16,5471.43
12/22/16,5447.42
12/23/16,5462.69
12/26/16,.
12/27/16,5487.44
12/28/16,5438.56
12/29/16,5432.09
12/30/16,5383.12
1/2/17,.
1/3/17,5429.08
1/4/17,5477
1/5/17,5487.94
1/6/17,5521.06
1/9/17,5531.82
1/10/17,5551.82
1/11/17,5563.65
1/12/17,5547.49
1/13/17,5574.12
1/16/17,.
1/17/17,5538.73
1/18/17,5555.65
1/19/17,5540.08
1/20/17,5555.33
1/23/17,5552.94
1/24/17,5600.96
1/25/17,5656.34
1/26/17,5655.18
1/27/17,5660.78
1/30/17,5613.71
1/31/17,5614.79
2/1/17,5642.65
2/2/17,5636.2
2/3/17,5666.77
2/6/17,5663.55
2/7/17,5674.22
2/8/17,5682.45
2/9/17,5715.18
2/10/17,5734.13
2/13/17,5763.96
2/14/17,5782.57
2/15/17,5819.44
2/16/17,5814.9
2/17/17,5838.58
2/20/17,.
2/21/17,5865.95
2/22/17,5860.63
2/23/17,5835.51
2/24/17,5845.31
2/27/17,5861.9
2/28/17,5825.44
3/1/17,5904.03
3/2/17,5861.22
3/3/17,5870.75
3/6/17,5849.17
3/7/17,5833.93
3/8/17,5837.55
3/9/17,5838.81
3/10/17,5861.73
3/13/17,5875.78
3/14/17,5856.82
3/15/17,5900.05
3/16/17,5900.76
3/17/17,5901
3/20/17,5901.53
3/21/17,5793.83
3/22/17,5821.64
3/23/17,5817.69
3/24/17,5828.74
3/27/17,5840.37
3/28/17,5875.14
3/29/17,5897.55
3/30/17,5914.34
3/31/17,5911.74
4/3/17,5894.68
4/4/17,5898.61
4/5/17,5864.48
4/6/17,5878.95
4/7/17,5877.81
4/10/17,5880.93
4/11/17,5866.77
4/12/17,5836.16
4/13/17,5805.15
4/14/17,.
4/17/17,5856.79
4/18/17,5849.47
4/19/17,5863.03
4/20/17,5916.78
4/21/17,5910.52
4/24/17,5983.82
4/25/17,6025.49
4/26/17,6025.23
4/27/17,6048.94
4/28/17,6047.61
5/1/17,6091.6
5/2/17,6095.37
5/3/17,6072.55
5/4/17,6075.34
5/5/17,6100.76
5/8/17,6102.66
5/9/17,6120.59
5/10/17,6129.14
5/11/17,6115.96
5/12/17,6121.23
5/15/17,6149.67
5/16/17,6169.87
5/17/17,6011.24
5/18/17,6055.13
5/19/17,6083.7
5/22/17,6133.62
5/23/17,6138.71
5/24/17,6163.02
5/25/17,6205.26
5/26/17,6210.19
5/29/17,.
5/30/17,6203.19
5/31/17,6198.52
6/1/17,6246.83
6/2/17,6305.8
6/5/17,6295.68
6/6/17,6275.06
6/7/17,6297.38
6/8/17,6321.76
6/9/17,6207.92
6/12/17,6175.46
6/13/17,6220.37
6/14/17,6194.89
6/15/17,6165.5
6/16/17,6151.76
6/19/17,6239.01
6/20/17,6188.03
6/21/17,6233.95
6/22/17,6236.69
6/23/17,6265.25
6/26/17,6247.15
6/27/17,6146.62
6/28/17,6234.41
6/29/17,6144.35
6/30/17,6140.42
7/3/17,6110.06
7/4/17,.
7/5/17,6150.86
7/6/17,6089.46
7/7/17,6153.08
7/10/17,6176.39
7/11/17,6193.3
7/12/17,6261.17
7/13/17,6274.44
7/14/17,6312.47
7/17/17,6314.43
7/18/17,6344.31
7/19/17,6385.04
7/20/17,6390
7/21/17,6387.75
7/24/17,6410.81
7/25/17,6412.17
7/26/17,6422.75
7/27/17,6382.19
7/28/17,6374.68
7/31/17,6348.12
8/1/17,6362.94
8/2/17,6362.65
8/3/17,6340.34
8/4/17,6351.56
8/7/17,6383.77
8/8/17,6370.46
8/9/17,6352.33
8/10/17,6216.87
8/11/17,6256.56
8/14/17,6340.23
8/15/17,6333.01
8/16/17,6345.11
8/17/17,6221.91
8/18/17,6216.53
8/21/17,6213.13
8/22/17,6297.48
8/23/17,6278.41
8/24/17,6271.33
8/25/17,6265.64
8/28/17,6283.02
8/29/17,6301.89
8/30/17,6368.31
8/31/17,6428.66
9/1/17,6435.33
9/4/17,.
9/5/17,6375.57
9/6/17,6393.31
9/7/17,6397.87
9/8/17,6360.19
9/11/17,6432.26
9/12/17,6454.28
9/13/17,6460.19
9/14/17,6429.08
9/15/17,6448.47
9/18/17,6454.64
9/19/17,6461.32
9/20/17,6456.04
9/21/17,6422.69
9/22/17,6426.92
9/25/17,6370.59
9/26/17,6380.16
9/27/17,6453.26
9/28/17,6453.45
9/29/17,6495.96
10/2/17,6516.72
10/3/17,6531.71
10/4/17,6534.63
10/5/17,6585.36
10/6/17,6590.18
10/9/17,6579.73
10/10/17,6587.25
10/11/17,6603.55
10/12/17,6591.51
10/13/17,6605.8
10/16/17,6624
10/17/17,6623.66
10/18/17,6624.22
10/19/17,6605.07
10/20/17,6629.05
10/23/17,6586.83
10/24/17,6598.43
10/25/17,6563.89
10/26/17,6556.77
10/27/17,6701.26
10/30/17,6698.96
10/31/17,6727.67
11/1/17,6716.53
11/2/17,6714.94
11/3/17,6764.44
11/6/17,6786.44
11/7/17,6767.78
11/8/17,6789.12
11/9/17,6750.05
11/10/17,6750.94
11/13/17,6757.6
11/14/17,6737.87
11/15/17,6706.21
11/16/17,6793.29
11/17/17,6782.79
11/20/17,6790.71
11/21/17,6862.48
11/22/17,6867.36
11/23/17,.
11/24/17,6889.16
11/27/17,6878.52
11/28/17,6912.36
11/29/17,6824.39
11/30/17,6873.97
12/1/17,6847.59
12/4/17,6775.37
12/5/17,6762.21
12/6/17,6776.38
12/7/17,6812.84
12/8/17,6840.08
12/11/17,6875.08
12/12/17,6862.32
12/13/17,6875.8
12/14/17,6856.53
12/15/17,6936.58
12/18/17,6994.76
12/19/17,6963.85
12/20/17,6960.96
12/21/17,6965.36
12/22/17,6959.96
12/25/17,.
12/26/17,6936.25
12/27/17,6939.34
12/28/17,6950.16
12/29/17,6903.39
1/1/18,.
1/2/18,7006.9
1/3/18,7065.53
1/4/18,7077.91
1/5/18,7136.56
1/8/18,7157.39
1/9/18,7163.58
1/10/18,7153.57
1/11/18,7211.78
1/12/18,7261.06
1/15/18,.
1/16/18,7223.69
1/17/18,7298.28
1/18/18,7296.05
1/19/18,7336.38
1/22/18,7408.03
1/23/18,7460.29
1/24/18,7415.06
1/25/18,7411.16
1/26/18,7505.77
1/29/18,7466.51
1/30/18,7402.48
1/31/18,7411.48
2/1/18,7385.86
2/2/18,7240.95
2/5/18,6967.53
2/6/18,7115.88
2/7/18,7051.98
2/8/18,6777.16
2/9/18,6874.49
2/12/18,6981.96
2/13/18,7013.51
2/14/18,7143.62
2/15/18,7256.43
2/16/18,7239.47
2/19/18,.
2/20/18,7234.31
2/21/18,7218.23
2/22/18,7210.09
2/23/18,7337.39
2/26/18,7421.46
2/27/18,7330.35
2/28/18,7273.01
3/1/18,7180.56
3/2/18,7257.87
3/5/18,7330.7
3/6/18,7372.01
3/7/18,7396.65
3/8/18,7427.95
3/9/18,7560.81
3/12/18,7588.32
3/13/18,7511.01
3/14/18,7496.81
3/15/18,7481.74
3/16/18,7481.99
3/19/18,7344.24
3/20/18,7364.3
3/21/18,7345.29
3/22/18,7166.68
3/23/18,6992.67
3/26/18,7220.54
3/27/18,7008.81
3/28/18,6949.23
3/29/18,7063.44
3/30/18,.
4/2/18,6870.12
4/3/18,6941.28
4/4/18,7042.105
4/5/18,7076.551
4/6/18,6915.109
4/9/18,6950.344
4/10/18,7094.301
4/11/18,7069.027
4/12/18,7140.246
4/13/18,7106.648
4/16/18,7156.285
4/17/18,7281.098
4/18/18,7295.234
4/19/18,7238.055
4/20/18,7146.125
4/23/18,7128.602
4/24/18,7007.352
4/25/18,7003.738
4/26/18,7118.676
4/27/18,7119.801
4/30/18,7066.266
5/1/18,7130.703
5/2/18,7100.898
5/3/18,7088.152
5/4/18,7209.617
5/7/18,7265.211
5/8/18,7266.902
5/9/18,7339.906
5/10/18,7404.977
5/11/18,7402.883
5/14/18,7411.316
5/15/18,7351.629
5/16/18,7398.297
5/17/18,7382.473
5/18/18,7354.34
5/21/18,7394.035
5/22/18,7378.457
5/23/18,7425.957
5/24/18,7424.43
5/25/18,7433.855
5/28/18,.
5/29/18,7396.594
5/30/18,7462.453
5/31/18,7442.117
6/1/18,7554.332
6/4/18,7606.461
6/5/18,7637.863
6/6/18,7689.242
6/7/18,7635.07
6/8/18,7645.512
6/11/18,7659.926
6/12/18,7703.793
6/13/18,7695.699
6/14/18,7761.043
6/15/18,7746.379
6/18/18,7747.023
6/19/18,7725.586
6/20/18,7781.516
6/21/18,7712.953
6/22/18,7692.816
6/25/18,7532.008
6/26/18,7561.625
6/27/18,7445.086
6/28/18,7503.684
6/29/18,7510.305
7/2/18,7567.688
7/3/18,7502.672
7/4/18,.
7/5/18,7586.426
7/6/18,7688.387
7/9/18,7756.203
7/10/18,7759.199
7/11/18,7716.613
7/12/18,7823.914
7/13/18,7825.977
7/16/18,7805.719
7/17/18,7855.117
7/18/18,7854.445
